iter	RMSE
0	0.4943862399
1	0.4893271637
2	0.4841947243
3	0.4796801173
4	0.4749716199
5	0.470732063
6	0.4667669718
7	0.4632671285
8	0.4592273261
9	0.4555242501
10	0.4517387212
11	0.4481602434
12	0.444939429
13	0.4418985675
14	0.4385842983
15	0.4357211783
16	0.4327469692
17	0.4297153648
18	0.4273688098
19	0.424809643
20	0.4228135185
21	0.4203005127
22	0.418026656
23	0.4156972886
24	0.4135085903
25	0.4115152375
26	0.4095287221
27	0.4076127869
28	0.4058740636
29	0.4040934775
30	0.4023481485
31	0.4006613748
32	0.3991155077
33	0.3976544295
34	0.3961750405
35	0.394749603
36	0.3936484626
37	0.3923546308
38	0.3910774133
39	0.3898686158
40	0.3887001636
41	0.3875765141
42	0.3865527486
43	0.385595411
44	0.3845748624
45	0.3836570197
46	0.3829774378
47	0.382032299
