iter	Passed	Remaining
0	3	3404
1	4	2297
2	6	2170
3	9	2281
4	10	2148
5	12	2032
6	13	1965
7	15	1911
8	16	1844
9	18	1811
10	19	1781
11	21	1747
12	22	1730
13	24	1704
14	25	1679
15	27	1669
16	29	1731
17	31	1708
18	32	1689
19	34	1667
20	35	1642
21	36	1628
22	37	1608
23	39	1593
24	40	1577
25	41	1564
26	42	1545
27	44	1530
28	45	1515
29	46	1501
30	47	1486
31	48	1472
32	49	1459
33	50	1447
34	52	1434
35	53	1424
36	54	1415
37	55	1410
38	57	1405
39	58	1398
40	59	1393
41	60	1386
42	61	1379
43	63	1373
44	64	1366
45	65	1359
46	66	1352
47	67	1346
